id,gold_answers,predicted_answer,correct
FRCLTEXT000000_front,right,right,True
FRCLTEXT000000_left,right,right,True
FRCLTEXT000000_back,right,front,False
FRCLTEXT000000_right,right,right,True
FRCLTEXT000001,right,right,True
FRCLTEXT000002_front,right,left,False
FRCLTEXT000002_left,front,front,True
FRCLTEXT000002_back,left,right,False
FRCLTEXT000002_right,back,left,False
FRCLTEXT000003_front,left,left,True
FRCLTEXT000003_left,left,front,False
FRCLTEXT000003_back,left,left,True
FRCLTEXT000003_right,left,left,True
FRCLTEXT000004_front,back,back,True
FRCLTEXT000004_left,back,back,True
FRCLTEXT000004_back,back,front,False
FRCLTEXT000004_right,back,left,False
FRCLTEXT000005_front,left,left,True
FRCLTEXT000005_left,left,front,False
FRCLTEXT000005_back,left,right,False
FRCLTEXT000005_right,left,left,True
FRCLTEXT000006_front,front,front,True
FRCLTEXT000006_left,front,front,True
FRCLTEXT000006_back,front,back,False
FRCLTEXT000006_right,front,left,False
FRCLTEXT000007_front,left,left,True
FRCLTEXT000007_left,left,front,False
FRCLTEXT000007_back,left,left,True
FRCLTEXT000007_right,left,left,True
FRCLTEXT000008_front,right,right,True
FRCLTEXT000008_left,right,right,True
FRCLTEXT000008_back,right,front,False
FRCLTEXT000008_right,right,front,False
FRCLTEXT000009_front,front,back,False
FRCLTEXT000009_left,left,left,True
FRCLTEXT000009_back,back,back,True
FRCLTEXT000009_right,right,left,False
FRCLTEXT000010_front,right,left,False
FRCLTEXT000010_left,front,front,True
FRCLTEXT000010_back,left,right,False
FRCLTEXT000010_right,back,left,False
FRCLTEXT000011_front,front,back,False
FRCLTEXT000011_left,front,right,False
FRCLTEXT000011_back,front,back,False
FRCLTEXT000011_right,front,left,False
FRCLTEXT000012_front,front,front,True
FRCLTEXT000012_left,front,front,True
FRCLTEXT000012_back,front,front,True
FRCLTEXT000012_right,front,front,True
FRCLTEXT000013,left,left,True
FRCLTEXT000014,front,front,True
FRCLTEXT000015,back,back,True
FRCLTEXT000016,back,back,True
FRCLTEXT000017_front,front,front,True
FRCLTEXT000017_left,left,right,False
FRCLTEXT000017_back,back,back,True
FRCLTEXT000017_right,right,left,False
FRCLTEXT000018_front,front,front,True
FRCLTEXT000018_left,left,right,False
FRCLTEXT000018_back,back,back,True
FRCLTEXT000018_right,right,left,False
FRCLTEXT000019_front,back,back,True
FRCLTEXT000019_left,right,right,True
FRCLTEXT000019_back,front,front,True
FRCLTEXT000019_right,left,left,True
FRCLTEXT000020,back,back,True
FRCLTEXT000021,front,front,True
FRCLTEXT000022_front,front,front,True
FRCLTEXT000022_left,front,front,True
FRCLTEXT000022_back,front,front,True
FRCLTEXT000022_right,front,left,False
FRCLTEXT000023_front,front,front,True
FRCLTEXT000023_left,left,right,False
FRCLTEXT000023_back,back,back,True
FRCLTEXT000023_right,right,left,False
FRCLTEXT000024_front,front,front,True
FRCLTEXT000024_left,left,right,False
FRCLTEXT000024_back,back,back,True
FRCLTEXT000024_right,right,left,False
FRCLTEXT000025_front,right,left,False
FRCLTEXT000025_left,front,front,True
FRCLTEXT000025_back,left,right,False
FRCLTEXT000025_right,back,left,False
FRCLTEXT000026_front,left,right,False
FRCLTEXT000026_left,back,right,False
FRCLTEXT000026_back,right,left,False
FRCLTEXT000026_right,front,right,False
FRCLTEXT000027_front,front,back,False
FRCLTEXT000027_left,front,left,False
FRCLTEXT000027_back,front,back,False
FRCLTEXT000027_right,front,left,False
FRCLTEXT000028_front,right,right,True
FRCLTEXT000028_left,right,left,False
FRCLTEXT000028_back,right,right,True
FRCLTEXT000028_right,right,back,False
FRCLTEXT000029,left,left,True
FRCLTEXT000030_front,front,back,False
FRCLTEXT000030_left,front,left,False
FRCLTEXT000030_back,front,back,False
FRCLTEXT000030_right,front,left,False
FRCLTEXT000031,front,front,True
FRCLTEXT000032_front,front,front,True
FRCLTEXT000032_left,front,front,True
FRCLTEXT000032_back,front,back,False
FRCLTEXT000032_right,front,front,True
FRCLTEXT000033_front,left,left,True
FRCLTEXT000033_left,left,front,False
FRCLTEXT000033_back,left,left,True
FRCLTEXT000033_right,left,left,True
FRCLTEXT000034_front,left,left,True
FRCLTEXT000034_left,left,front,False
FRCLTEXT000034_back,left,left,True
FRCLTEXT000034_right,left,left,True
FRCLTEXT000035_front,right,right,True
FRCLTEXT000035_left,right,back,False
FRCLTEXT000035_back,right,left,False
FRCLTEXT000035_right,right,right,True
FRCLTEXT000036_front,right,left,False
FRCLTEXT000036_left,front,front,True
FRCLTEXT000036_back,left,right,False
FRCLTEXT000036_right,back,left,False
FRCLTEXT000037_front,left,right,False
FRCLTEXT000037_left,back,right,False
FRCLTEXT000037_back,right,left,False
FRCLTEXT000037_right,front,right,False
FRCLTEXT000038_front,left,right,False
FRCLTEXT000038_left,back,right,False
