id,frame_of_reference_category,gold_answers,predicted_answer,correct
FRCLTEXT000000_front,internal relative,right,right,True
FRCLTEXT000000_left,internal relative,right,right,True
FRCLTEXT000000_back,internal relative,right,right,True
FRCLTEXT000000_right,internal relative,right,right,True
FRCLTEXT000001,external relative,right,right,True
FRCLTEXT000002_front,external intrinsic,right,right,True
FRCLTEXT000002_left,external intrinsic,front,front,True
FRCLTEXT000002_back,external intrinsic,left,left,True
FRCLTEXT000002_right,external intrinsic,back,back,True
FRCLTEXT000003_front,external relative,left,right,False
FRCLTEXT000003_left,external relative,left,left,True
FRCLTEXT000003_back,external relative,left,left,True
FRCLTEXT000003_right,external relative,left,left,True
FRCLTEXT000004_front,external relative,back,back,True
FRCLTEXT000004_left,external relative,back,back,True
FRCLTEXT000004_back,external relative,back,back,True
FRCLTEXT000004_right,external relative,back,back,True
FRCLTEXT000005_front,external relative,left,left,True
FRCLTEXT000005_left,external relative,left,left,True
FRCLTEXT000005_back,external relative,left,left,True
FRCLTEXT000005_right,external relative,left,left,True
FRCLTEXT000006_front,external relative,front,front,True
FRCLTEXT000006_left,external relative,front,front,True
FRCLTEXT000006_back,external relative,front,front,True
FRCLTEXT000006_right,external relative,front,front,True
FRCLTEXT000007_front,external relative,left,left,True
FRCLTEXT000007_left,external relative,left,left,True
FRCLTEXT000007_back,external relative,left,left,True
FRCLTEXT000007_right,external relative,left,left,True
FRCLTEXT000008_front,external relative,right,right,True
FRCLTEXT000008_left,external relative,right,right,True
FRCLTEXT000008_back,external relative,right,right,True
FRCLTEXT000008_right,external relative,right,right,True
FRCLTEXT000009_front,external intrinsic,front,front,True
FRCLTEXT000009_left,external intrinsic,left,left,True
FRCLTEXT000009_back,external intrinsic,back,back,True
FRCLTEXT000009_right,external intrinsic,right,right,True
FRCLTEXT000010_front,external intrinsic,right,right,True
FRCLTEXT000010_left,external intrinsic,front,front,True
FRCLTEXT000010_back,external intrinsic,left,left,True
FRCLTEXT000010_right,external intrinsic,back,back,True
FRCLTEXT000011_front,external relative,front,front,True
FRCLTEXT000011_left,external relative,front,front,True
FRCLTEXT000011_back,external relative,front,front,True
FRCLTEXT000011_right,external relative,front,front,True
FRCLTEXT000012_front,external relative,front,front,True
FRCLTEXT000012_left,external relative,front,front,True
FRCLTEXT000012_back,external relative,front,front,True
FRCLTEXT000012_right,external relative,front,front,True
FRCLTEXT000013,external relative,left,left,True
FRCLTEXT000014,external relative,front,front,True
FRCLTEXT000015,external relative,back,back,True
FRCLTEXT000016,external relative,back,back,True
FRCLTEXT000017_front,external intrinsic,front,front,True
FRCLTEXT000017_left,external intrinsic,left,left,True
FRCLTEXT000017_back,external intrinsic,back,front,False
FRCLTEXT000017_right,external intrinsic,right,right,True
FRCLTEXT000018_front,external intrinsic,front,front,True
FRCLTEXT000018_left,external intrinsic,left,left,True
FRCLTEXT000018_back,external intrinsic,back,back,True
FRCLTEXT000018_right,external intrinsic,right,front,False
FRCLTEXT000019_front,external intrinsic,back,front,False
FRCLTEXT000019_left,external intrinsic,right,right,True
FRCLTEXT000019_back,external intrinsic,front,front,True
FRCLTEXT000019_right,external intrinsic,left,left,True
FRCLTEXT000020,external relative,back,back,True
FRCLTEXT000021,external relative,front,front,True
FRCLTEXT000022_front,external relative,front,front,True
FRCLTEXT000022_left,external relative,front,front,True
FRCLTEXT000022_back,external relative,front,front,True
FRCLTEXT000022_right,external relative,front,front,True
FRCLTEXT000023_front,external intrinsic,front,front,True
FRCLTEXT000023_left,external intrinsic,left,left,True
FRCLTEXT000023_back,external intrinsic,back,back,True
FRCLTEXT000023_right,external intrinsic,right,right,True
FRCLTEXT000024_front,external intrinsic,front,front,True
FRCLTEXT000024_left,external intrinsic,left,left,True
FRCLTEXT000024_back,external intrinsic,back,back,True
FRCLTEXT000024_right,external intrinsic,right,right,True
