context,gold_answers,predicted_answer,correct
A box is inside and at the right of a car relative to observer. The car is facing toward the observer.,['right'],right,True
A box is inside and at the right of a car relative to observer. The car is facing left relative to the observer.,['right'],right,True
A box is inside and at the right of a car relative to observer. The car is facing away from the observer.,['right'],right,True
A box is inside and at the right of a car relative to observer. The car is facing right relative to the observer.,['right'],right,True
A box is on the right of a bag.,['right'],right,True
A tree is to the left of a dog from the dog's perspective. The dog is facing toward the camera.,['right'],right,True
A tree is to the left of a dog from the dog's perspective. The dog is facing left relative to the camera.,['front'],right,False
A tree is to the left of a dog from the dog's perspective. The dog is facing away from the camera.,['left'],right,False
A tree is to the left of a dog from the dog's perspective. The dog is facing right relative to the camera.,['back'],right,False
A dog is on the left of a sheep from my point of view. The sheep is facing toward me.,['left'],left,True
A dog is on the left of a sheep from my point of view. The sheep is facing left relative to me.,['left'],left,True
A dog is on the left of a sheep from my point of view. The sheep is facing away from me.,['left'],left,True
A dog is on the left of a sheep from my point of view. The sheep is facing right relative to me.,['left'],left,True
A deer is back of a chair relative to camera. The chair is facing toward the camera.,['back'],back,True
A deer is back of a chair relative to camera. The chair is facing left relative to the camera.,['back'],right,False
A deer is back of a chair relative to camera. The chair is facing away from the camera.,['back'],back,True
A deer is back of a chair relative to camera. The chair is facing right relative to the camera.,['back'],left,False
A sheep is outside and on the left of a bus from my point of view. The bus is facing toward me.,['left'],left,True
A sheep is outside and on the left of a bus from my point of view. The bus is facing left relative to me.,['left'],right,False
A sheep is outside and on the left of a bus from my point of view. The bus is facing away from me.,['left'],right,False
A sheep is outside and on the left of a bus from my point of view. The bus is facing right relative to me.,['left'],left,True
A bag is in front of a sheep from my point of view. The sheep is facing toward me.,['front'],front,True
A bag is in front of a sheep from my point of view. The sheep is facing left relative to me.,['front'],right,False
A bag is in front of a sheep from my point of view. The sheep is facing away from me.,['front'],left,False
A bag is in front of a sheep from my point of view. The sheep is facing right relative to me.,['front'],left,False
A fire hydrant is to the left of a dog from the camera angle. The dog is facing toward the camera.,['left'],left,True
A fire hydrant is to the left of a dog from the camera angle. The dog is facing left relative to the camera.,['left'],left,True
A fire hydrant is to the left of a dog from the camera angle. The dog is facing away from the camera.,['left'],left,True
A fire hydrant is to the left of a dog from the camera angle. The dog is facing right relative to the camera.,['left'],left,True
A bicycle is outside and on the right of a bus from my point of view. The bus is facing toward me.,['right'],right,True
A bicycle is outside and on the right of a bus from my point of view. The bus is facing left relative to me.,['right'],left,False
