id,frame_of_reference_category,gold_answers,predicted_answer,correct
FRCLTEXT000000_front,internal relative,left,right,False
FRCLTEXT000000_left,internal relative,back,left,False
FRCLTEXT000000_back,internal relative,right,front,False
FRCLTEXT000000_right,internal relative,front,right,False
FRCLTEXT000002_front,external intrinsic,left,left,True
FRCLTEXT000002_left,external intrinsic,left,left,True
FRCLTEXT000002_back,external intrinsic,left,left,True
FRCLTEXT000002_right,external intrinsic,left,left,True
FRCLTEXT000003_front,external relative,right,right,True
FRCLTEXT000003_left,external relative,front,front,True
FRCLTEXT000003_back,external relative,left,right,False
FRCLTEXT000003_right,external relative,back,left,False
FRCLTEXT000004_front,external relative,back,back,True
FRCLTEXT000004_left,external relative,right,right,True
FRCLTEXT000004_back,external relative,front,front,True
FRCLTEXT000004_right,external relative,left,left,True
FRCLTEXT000005_front,external relative,right,left,False
FRCLTEXT000005_left,external relative,front,front,True
FRCLTEXT000005_back,external relative,left,right,False
FRCLTEXT000005_right,external relative,back,front,False
FRCLTEXT000006_front,external relative,front,front,True
FRCLTEXT000006_left,external relative,left,right,False
FRCLTEXT000006_back,external relative,back,back,True
FRCLTEXT000006_right,external relative,right,left,False
FRCLTEXT000007_front,external relative,right,left,False
FRCLTEXT000007_left,external relative,front,front,True
FRCLTEXT000007_back,external relative,left,right,False
FRCLTEXT000007_right,external relative,back,left,False
FRCLTEXT000008_front,external relative,left,right,False
FRCLTEXT000008_left,external relative,back,left,False
FRCLTEXT000008_back,external relative,right,left,False
FRCLTEXT000008_right,external relative,front,right,False
FRCLTEXT000009_front,external intrinsic,front,front,True
FRCLTEXT000009_left,external intrinsic,front,front,True
FRCLTEXT000009_back,external intrinsic,front,front,True
FRCLTEXT000009_right,external intrinsic,front,front,True
FRCLTEXT000010_front,external intrinsic,left,left,True
FRCLTEXT000010_left,external intrinsic,left,front,False
FRCLTEXT000010_back,external intrinsic,left,left,True
FRCLTEXT000010_right,external intrinsic,left,left,True
FRCLTEXT000011_front,external relative,front,front,True
FRCLTEXT000011_left,external relative,left,right,False
FRCLTEXT000011_back,external relative,back,back,True
FRCLTEXT000011_right,external relative,right,left,False
FRCLTEXT000012_front,external relative,front,front,True
FRCLTEXT000012_left,external relative,left,right,False
FRCLTEXT000012_back,external relative,back,back,True
FRCLTEXT000012_right,external relative,right,left,False
FRCLTEXT000017_front,external intrinsic,front,front,True
FRCLTEXT000017_left,external intrinsic,front,front,True
FRCLTEXT000017_back,external intrinsic,front,front,True
FRCLTEXT000017_right,external intrinsic,front,front,True
FRCLTEXT000018_front,external intrinsic,front,front,True
FRCLTEXT000018_left,external intrinsic,front,front,True
FRCLTEXT000018_back,external intrinsic,front,front,True
FRCLTEXT000018_right,external intrinsic,front,front,True
FRCLTEXT000019_front,external intrinsic,back,back,True
FRCLTEXT000019_left,external intrinsic,back,back,True
FRCLTEXT000019_back,external intrinsic,back,back,True
FRCLTEXT000019_right,external intrinsic,back,back,True
FRCLTEXT000022_front,external relative,front,front,True
FRCLTEXT000022_left,external relative,left,right,False
FRCLTEXT000022_back,external relative,back,back,True
FRCLTEXT000022_right,external relative,right,left,False
FRCLTEXT000023_front,external intrinsic,front,front,True
FRCLTEXT000023_left,external intrinsic,front,front,True
FRCLTEXT000023_back,external intrinsic,front,front,True
FRCLTEXT000023_right,external intrinsic,front,front,True
FRCLTEXT000024_front,external intrinsic,front,front,True
FRCLTEXT000024_left,external intrinsic,front,front,True
FRCLTEXT000024_back,external intrinsic,front,front,True
FRCLTEXT000024_right,external intrinsic,front,front,True
FRCLTEXT000025_front,external intrinsic,left,left,True
FRCLTEXT000025_left,external intrinsic,left,front,False
FRCLTEXT000025_back,external intrinsic,left,left,True
FRCLTEXT000025_right,external intrinsic,left,left,True
FRCLTEXT000026_front,external intrinsic,right,right,True
FRCLTEXT000026_left,external intrinsic,right,right,True
FRCLTEXT000026_back,external intrinsic,right,right,True
FRCLTEXT000026_right,external intrinsic,right,right,True
FRCLTEXT000027_front,external relative,front,front,True
FRCLTEXT000027_left,external relative,left,right,False
FRCLTEXT000027_back,external relative,back,back,True
FRCLTEXT000027_right,external relative,right,left,False
FRCLTEXT000028_front,external relative,left,left,True
FRCLTEXT000028_left,external relative,back,left,False
FRCLTEXT000028_back,external relative,right,left,False
FRCLTEXT000028_right,external relative,front,front,True
FRCLTEXT000030_front,external relative,front,front,True
FRCLTEXT000030_left,external relative,left,right,False
FRCLTEXT000030_back,external relative,back,back,True
FRCLTEXT000030_right,external relative,right,left,False
FRCLTEXT000032_front,external relative,front,front,True
FRCLTEXT000032_left,external relative,left,right,False
FRCLTEXT000032_back,external relative,back,back,True
FRCLTEXT000032_right,external relative,right,left,False
FRCLTEXT000033_front,external relative,right,left,False
FRCLTEXT000033_left,external relative,front,front,True
FRCLTEXT000033_back,external relative,left,right,False
FRCLTEXT000033_right,external relative,back,left,False
FRCLTEXT000034_front,external relative,right,left,False
FRCLTEXT000034_left,external relative,front,front,True
FRCLTEXT000034_back,external relative,left,right,False
FRCLTEXT000034_right,external relative,back,front,False
FRCLTEXT000035_front,external relative,left,right,False
FRCLTEXT000035_left,external relative,back,left,False
FRCLTEXT000035_back,external relative,right,left,False
FRCLTEXT000035_right,external relative,front,right,False
FRCLTEXT000036_front,external intrinsic,left,left,True
FRCLTEXT000036_left,external intrinsic,left,front,False
FRCLTEXT000036_back,external intrinsic,left,left,True
FRCLTEXT000036_right,external intrinsic,left,left,True
FRCLTEXT000037_front,external intrinsic,right,right,True
FRCLTEXT000037_left,external intrinsic,right,right,True
FRCLTEXT000037_back,external intrinsic,right,right,True
FRCLTEXT000037_right,external intrinsic,right,right,True
FRCLTEXT000038_front,internal intrinsic,right,right,True
FRCLTEXT000038_left,internal intrinsic,right,right,True
FRCLTEXT000038_back,internal intrinsic,right,right,True
FRCLTEXT000038_right,internal intrinsic,right,right,True
FRCLTEXT000039_front,external relative,right,left,False
FRCLTEXT000039_left,external relative,front,front,True
FRCLTEXT000039_back,external relative,left,right,False
FRCLTEXT000039_right,external relative,back,right,False
FRCLTEXT000040_front,external relative,back,back,True
FRCLTEXT000040_left,external relative,right,right,True
FRCLTEXT000040_back,external relative,front,front,True
FRCLTEXT000040_right,external relative,left,left,True
FRCLTEXT000041_front,external relative,left,right,False
FRCLTEXT000041_left,external relative,back,back,True
FRCLTEXT000041_back,external relative,right,left,False
FRCLTEXT000041_right,external relative,front,right,False
FRCLTEXT000042_front,external relative,back,back,True
FRCLTEXT000042_left,external relative,right,right,True
FRCLTEXT000042_back,external relative,front,front,True
FRCLTEXT000042_right,external relative,left,left,True
FRCLTEXT000044_front,external relative,left,right,False
FRCLTEXT000044_left,external relative,back,back,True
FRCLTEXT000044_back,external relative,right,left,False
FRCLTEXT000044_right,external relative,front,right,False
FRCLTEXT000047_front,external relative,left,right,False
FRCLTEXT000047_left,external relative,back,front,False
FRCLTEXT000047_back,external relative,right,left,False
FRCLTEXT000047_right,external relative,front,front,True
FRCLTEXT000048_front,internal intrinsic,left,left,True
FRCLTEXT000048_left,internal intrinsic,left,left,True
FRCLTEXT000048_back,internal intrinsic,left,left,True
FRCLTEXT000048_right,internal intrinsic,left,left,True
FRCLTEXT000049_front,external relative,back,back,True
FRCLTEXT000049_left,external relative,right,right,True
FRCLTEXT000049_back,external relative,front,front,True
FRCLTEXT000049_right,external relative,left,left,True
FRCLTEXT000050_front,external intrinsic,back,back,True
FRCLTEXT000050_left,external intrinsic,back,back,True
FRCLTEXT000050_back,external intrinsic,back,back,True
FRCLTEXT000050_right,external intrinsic,back,back,True
FRCLTEXT000051_front,external intrinsic,back,back,True
FRCLTEXT000051_left,external intrinsic,back,right,False
FRCLTEXT000051_back,external intrinsic,back,back,True
FRCLTEXT000051_right,external intrinsic,back,left,False
FRCLTEXT000052_front,external relative,right,left,False
FRCLTEXT000052_left,external relative,front,front,True
FRCLTEXT000052_back,external relative,left,right,False
FRCLTEXT000052_right,external relative,back,left,False
FRCLTEXT000053_front,external relative,back,back,True
FRCLTEXT000053_left,external relative,right,right,True
FRCLTEXT000053_back,external relative,front,front,True
FRCLTEXT000053_right,external relative,left,left,True
FRCLTEXT000054_front,external relative,left,right,False
FRCLTEXT000054_left,external relative,back,left,False
FRCLTEXT000054_back,external relative,right,left,False
FRCLTEXT000054_right,external relative,front,front,True
FRCLTEXT000055_front,internal relative,left,right,False
FRCLTEXT000055_left,internal relative,back,right,False
FRCLTEXT000055_back,internal relative,right,left,False
FRCLTEXT000055_right,internal relative,front,right,False
FRCLTEXT000057_front,external relative,front,front,True
FRCLTEXT000057_left,external relative,left,right,False
FRCLTEXT000057_back,external relative,back,back,True
FRCLTEXT000057_right,external relative,right,left,False
FRCLTEXT000058_front,external relative,left,right,False
FRCLTEXT000058_left,external relative,back,left,False
FRCLTEXT000058_back,external relative,right,left,False
FRCLTEXT000058_right,external relative,front,right,False
FRCLTEXT000059_front,external intrinsic,back,back,True
FRCLTEXT000059_left,external intrinsic,back,back,True
FRCLTEXT000059_back,external intrinsic,back,back,True
FRCLTEXT000059_right,external intrinsic,back,back,True
FRCLTEXT000060_front,internal relative,front,front,True
FRCLTEXT000060_left,internal relative,left,right,False
FRCLTEXT000060_back,internal relative,back,back,True
FRCLTEXT000060_right,internal relative,right,left,False
FRCLTEXT000062_front,external relative,front,front,True
FRCLTEXT000062_left,external relative,left,right,False
FRCLTEXT000062_back,external relative,back,back,True
FRCLTEXT000062_right,external relative,right,left,False
FRCLTEXT000063_front,external intrinsic,right,right,True
FRCLTEXT000063_left,external intrinsic,right,right,True
FRCLTEXT000063_back,external intrinsic,right,right,True
FRCLTEXT000063_right,external intrinsic,right,right,True
FRCLTEXT000064_front,external intrinsic,left,left,True
FRCLTEXT000064_left,external intrinsic,left,left,True
FRCLTEXT000064_back,external intrinsic,left,left,True
FRCLTEXT000064_right,external intrinsic,left,left,True
FRCLTEXT000065_front,external relative,front,front,True
FRCLTEXT000065_left,external relative,left,right,False
FRCLTEXT000065_back,external relative,back,back,True
FRCLTEXT000065_right,external relative,right,left,False
FRCLTEXT000066_front,external relative,right,right,True
FRCLTEXT000066_left,external relative,front,front,True
FRCLTEXT000066_back,external relative,left,right,False
FRCLTEXT000066_right,external relative,back,right,False
FRCLTEXT000067_front,external intrinsic,front,front,True
FRCLTEXT000067_left,external intrinsic,front,right,False
FRCLTEXT000067_back,external intrinsic,front,front,True
FRCLTEXT000067_right,external intrinsic,front,right,False
FRCLTEXT000068_front,external intrinsic,back,back,True
FRCLTEXT000068_left,external intrinsic,back,back,True
FRCLTEXT000068_back,external intrinsic,back,back,True
FRCLTEXT000068_right,external intrinsic,back,back,True
FRCLTEXT000069_front,external intrinsic,left,left,True
FRCLTEXT000069_left,external intrinsic,left,left,True
FRCLTEXT000069_back,external intrinsic,left,left,True
FRCLTEXT000069_right,external intrinsic,left,left,True
FRCLTEXT000070_front,external relative,left,left,True
FRCLTEXT000070_left,external relative,back,back,True
FRCLTEXT000070_back,external relative,right,left,False
FRCLTEXT000070_right,external relative,front,right,False
FRCLTEXT000071_front,external intrinsic,back,back,True
FRCLTEXT000071_left,external intrinsic,back,back,True
FRCLTEXT000071_back,external intrinsic,back,back,True
FRCLTEXT000071_right,external intrinsic,back,back,True
FRCLTEXT000072_front,external relative,back,back,True
FRCLTEXT000072_left,external relative,right,right,True
FRCLTEXT000072_back,external relative,front,front,True
FRCLTEXT000072_right,external relative,left,left,True
FRCLTEXT000074_front,external intrinsic,right,right,True
FRCLTEXT000074_left,external intrinsic,right,right,True
FRCLTEXT000074_back,external intrinsic,right,right,True
FRCLTEXT000074_right,external intrinsic,right,right,True
FRCLTEXT000075_front,external intrinsic,back,back,True
FRCLTEXT000075_left,external intrinsic,back,back,True
FRCLTEXT000075_back,external intrinsic,back,back,True
FRCLTEXT000075_right,external intrinsic,back,back,True
FRCLTEXT000076_front,external relative,left,right,False
FRCLTEXT000076_left,external relative,back,left,False
FRCLTEXT000076_back,external relative,right,left,False
FRCLTEXT000076_right,external relative,front,right,False
FRCLTEXT000077_front,external intrinsic,back,back,True
FRCLTEXT000077_left,external intrinsic,back,right,False
FRCLTEXT000077_back,external intrinsic,back,back,True
FRCLTEXT000077_right,external intrinsic,back,back,True
FRCLTEXT000078_front,external intrinsic,back,back,True
FRCLTEXT000078_left,external intrinsic,back,back,True
FRCLTEXT000078_back,external intrinsic,back,back,True
FRCLTEXT000078_right,external intrinsic,back,back,True
FRCLTEXT000079_front,external intrinsic,front,front,True
FRCLTEXT000079_left,external intrinsic,front,front,True
FRCLTEXT000079_back,external intrinsic,front,back,False
FRCLTEXT000079_right,external intrinsic,front,front,True
FRCLTEXT000081_front,external intrinsic,right,right,True
FRCLTEXT000081_left,external intrinsic,right,right,True
FRCLTEXT000081_back,external intrinsic,right,right,True
FRCLTEXT000081_right,external intrinsic,right,right,True
FRCLTEXT000082_front,external relative,back,back,True
FRCLTEXT000082_left,external relative,right,right,True
FRCLTEXT000082_back,external relative,front,front,True
FRCLTEXT000082_right,external relative,left,left,True
FRCLTEXT000083_front,external intrinsic,back,back,True
FRCLTEXT000083_left,external intrinsic,back,back,True
FRCLTEXT000083_back,external intrinsic,back,back,True
FRCLTEXT000083_right,external intrinsic,back,back,True
FRCLTEXT000084_front,external relative,right,left,False
FRCLTEXT000084_left,external relative,front,front,True
FRCLTEXT000084_back,external relative,left,right,False
FRCLTEXT000084_right,external relative,back,left,False
FRCLTEXT000085_front,external intrinsic,right,right,True
FRCLTEXT000085_left,external intrinsic,right,right,True
FRCLTEXT000085_back,external intrinsic,right,right,True
FRCLTEXT000085_right,external intrinsic,right,right,True
FRCLTEXT000086_front,external intrinsic,back,back,True
FRCLTEXT000086_left,external intrinsic,back,back,True
FRCLTEXT000086_back,external intrinsic,back,back,True
FRCLTEXT000086_right,external intrinsic,back,back,True
FRCLTEXT000087_front,external intrinsic,front,front,True
FRCLTEXT000087_left,external intrinsic,front,front,True
FRCLTEXT000087_back,external intrinsic,front,front,True
FRCLTEXT000087_right,external intrinsic,front,front,True
FRCLTEXT000088_front,external intrinsic,left,left,True
FRCLTEXT000088_left,external intrinsic,left,left,True
FRCLTEXT000088_back,external intrinsic,left,left,True
FRCLTEXT000088_right,external intrinsic,left,left,True
FRCLTEXT000089_front,external intrinsic,right,right,True
FRCLTEXT000089_left,external intrinsic,right,right,True
FRCLTEXT000089_back,external intrinsic,right,right,True
FRCLTEXT000089_right,external intrinsic,right,right,True
FRCLTEXT000091_front,external relative,left,left,True
FRCLTEXT000091_left,external relative,back,left,False
FRCLTEXT000091_back,external relative,right,left,False
FRCLTEXT000091_right,external relative,front,right,False
FRCLTEXT000092_front,external intrinsic,back,back,True
FRCLTEXT000092_left,external intrinsic,back,right,False
FRCLTEXT000092_back,external intrinsic,back,back,True
FRCLTEXT000092_right,external intrinsic,back,back,True
FRCLTEXT000093_front,external relative,front,front,True
FRCLTEXT000093_left,external relative,left,right,False
FRCLTEXT000093_back,external relative,back,back,True
FRCLTEXT000093_right,external relative,right,left,False
FRCLTEXT000094_front,external intrinsic,back,back,True
FRCLTEXT000094_left,external intrinsic,back,back,True
FRCLTEXT000094_back,external intrinsic,back,back,True
FRCLTEXT000094_right,external intrinsic,back,left,False
FRCLTEXT000095_front,external relative,left,right,False
FRCLTEXT000095_left,external relative,back,left,False
FRCLTEXT000095_back,external relative,right,left,False
FRCLTEXT000095_right,external relative,front,front,True
FRCLTEXT000096_front,external relative,right,left,False
FRCLTEXT000096_left,external relative,front,front,True
FRCLTEXT000096_back,external relative,left,right,False
FRCLTEXT000096_right,external relative,back,left,False
FRCLTEXT000098_front,external intrinsic,front,front,True
FRCLTEXT000098_left,external intrinsic,front,front,True
FRCLTEXT000098_back,external intrinsic,front,front,True
FRCLTEXT000098_right,external intrinsic,front,front,True
FRCLTEXT000099_front,external intrinsic,right,right,True
FRCLTEXT000099_left,external intrinsic,right,right,True
FRCLTEXT000099_back,external intrinsic,right,right,True
FRCLTEXT000099_right,external intrinsic,right,right,True
FRCLTEXT000100_front,external relative,right,left,False
FRCLTEXT000100_left,external relative,front,front,True
FRCLTEXT000100_back,external relative,left,right,False
FRCLTEXT000100_right,external relative,back,left,False
FRCLTEXT000102_front,internal relative,right,left,False
FRCLTEXT000102_left,internal relative,front,front,True
FRCLTEXT000102_back,internal relative,left,right,False
FRCLTEXT000102_right,internal relative,back,front,False
FRCLTEXT000103_front,external intrinsic,front,front,True
FRCLTEXT000103_left,external intrinsic,front,front,True
FRCLTEXT000103_back,external intrinsic,front,front,True
FRCLTEXT000103_right,external intrinsic,front,front,True
FRCLTEXT000105_front,external relative,left,right,False
FRCLTEXT000105_left,external relative,back,left,False
FRCLTEXT000105_back,external relative,right,left,False
FRCLTEXT000105_right,external relative,front,front,True
FRCLTEXT000106_front,internal intrinsic,back,back,True
FRCLTEXT000106_left,internal intrinsic,back,back,True
FRCLTEXT000106_back,internal intrinsic,back,back,True
FRCLTEXT000106_right,internal intrinsic,back,back,True
FRCLTEXT000110_front,external intrinsic,back,back,True
FRCLTEXT000110_left,external intrinsic,back,back,True
FRCLTEXT000110_back,external intrinsic,back,back,True
FRCLTEXT000110_right,external intrinsic,back,left,False
FRCLTEXT000111_front,external relative,right,left,False
FRCLTEXT000111_left,external relative,front,front,True
FRCLTEXT000111_back,external relative,left,right,False
FRCLTEXT000111_right,external relative,back,left,False
FRCLTEXT000112_front,external intrinsic,left,left,True
FRCLTEXT000112_left,external intrinsic,left,left,True
FRCLTEXT000112_back,external intrinsic,left,left,True
FRCLTEXT000112_right,external intrinsic,left,left,True
FRCLTEXT000113_front,external intrinsic,back,back,True
FRCLTEXT000113_left,external intrinsic,back,back,True
FRCLTEXT000113_back,external intrinsic,back,back,True
FRCLTEXT000113_right,external intrinsic,back,left,False
FRCLTEXT000114_front,external relative,back,back,True
FRCLTEXT000114_left,external relative,right,right,True
FRCLTEXT000114_back,external relative,front,front,True
FRCLTEXT000114_right,external relative,left,left,True
FRCLTEXT000115_front,external relative,front,front,True
FRCLTEXT000115_left,external relative,left,right,False
FRCLTEXT000115_back,external relative,back,back,True
FRCLTEXT000115_right,external relative,right,left,False
FRCLTEXT000116_front,external intrinsic,right,right,True
FRCLTEXT000116_left,external intrinsic,right,right,True
FRCLTEXT000116_back,external intrinsic,right,right,True
FRCLTEXT000116_right,external intrinsic,right,right,True
FRCLTEXT000117_front,internal intrinsic,right,right,True
FRCLTEXT000117_left,internal intrinsic,right,right,True
FRCLTEXT000117_back,internal intrinsic,right,right,True
FRCLTEXT000117_right,internal intrinsic,right,right,True
FRCLTEXT000120_front,external relative,front,back,False
FRCLTEXT000120_left,external relative,left,right,False
FRCLTEXT000120_back,external relative,back,back,True
FRCLTEXT000120_right,external relative,right,left,False
FRCLTEXT000121_front,external relative,front,front,True
FRCLTEXT000121_left,external relative,left,right,False
FRCLTEXT000121_back,external relative,back,back,True
FRCLTEXT000121_right,external relative,right,left,False
FRCLTEXT000122_front,external intrinsic,right,right,True
FRCLTEXT000122_left,external intrinsic,right,right,True
FRCLTEXT000122_back,external intrinsic,right,right,True
FRCLTEXT000122_right,external intrinsic,right,right,True
FRCLTEXT000123_front,external relative,left,right,False
FRCLTEXT000123_left,external relative,back,right,False
FRCLTEXT000123_back,external relative,right,left,False
FRCLTEXT000123_right,external relative,front,front,True
FRCLTEXT000124_front,external relative,right,right,True
FRCLTEXT000124_left,external relative,front,front,True
FRCLTEXT000124_back,external relative,left,right,False
FRCLTEXT000124_right,external relative,back,left,False
FRCLTEXT000125_front,external relative,right,left,False
FRCLTEXT000125_left,external relative,front,front,True
FRCLTEXT000125_back,external relative,left,right,False
FRCLTEXT000125_right,external relative,back,left,False
FRCLTEXT000126_front,external intrinsic,front,front,True
FRCLTEXT000126_left,external intrinsic,front,front,True
FRCLTEXT000126_back,external intrinsic,front,front,True
FRCLTEXT000126_right,external intrinsic,front,front,True
FRCLTEXT000127_front,external relative,front,front,True
FRCLTEXT000127_left,external relative,left,right,False
FRCLTEXT000127_back,external relative,back,back,True
FRCLTEXT000127_right,external relative,right,left,False
FRCLTEXT000129_front,external relative,front,front,True
FRCLTEXT000129_left,external relative,left,right,False
FRCLTEXT000129_back,external relative,back,back,True
FRCLTEXT000129_right,external relative,right,left,False
FRCLTEXT000130_front,external relative,front,front,True
FRCLTEXT000130_left,external relative,left,right,False
FRCLTEXT000130_back,external relative,back,back,True
FRCLTEXT000130_right,external relative,right,left,False
FRCLTEXT000131_front,external relative,right,left,False
FRCLTEXT000131_left,external relative,front,front,True
FRCLTEXT000131_back,external relative,left,right,False
FRCLTEXT000131_right,external relative,back,right,False
FRCLTEXT000132_front,external intrinsic,right,right,True
FRCLTEXT000132_left,external intrinsic,right,right,True
FRCLTEXT000132_back,external intrinsic,right,right,True
FRCLTEXT000132_right,external intrinsic,right,right,True
FRCLTEXT000133_front,external relative,back,back,True
FRCLTEXT000133_left,external relative,right,right,True
FRCLTEXT000133_back,external relative,front,front,True
FRCLTEXT000133_right,external relative,left,left,True
FRCLTEXT000134_front,external intrinsic,back,back,True
FRCLTEXT000134_left,external intrinsic,back,back,True
FRCLTEXT000134_back,external intrinsic,back,back,True
FRCLTEXT000134_right,external intrinsic,back,back,True
FRCLTEXT000135_front,external intrinsic,back,back,True
FRCLTEXT000135_left,external intrinsic,back,back,True
FRCLTEXT000135_back,external intrinsic,back,back,True
FRCLTEXT000135_right,external intrinsic,back,back,True
FRCLTEXT000136_front,external intrinsic,front,front,True
FRCLTEXT000136_left,external intrinsic,front,front,True
FRCLTEXT000136_back,external intrinsic,front,front,True
FRCLTEXT000136_right,external intrinsic,front,front,True
FRCLTEXT000137_front,external intrinsic,right,right,True
FRCLTEXT000137_left,external intrinsic,right,right,True
FRCLTEXT000137_back,external intrinsic,right,right,True
FRCLTEXT000137_right,external intrinsic,right,right,True
FRCLTEXT000138_front,external intrinsic,left,left,True
FRCLTEXT000138_left,external intrinsic,left,left,True
FRCLTEXT000138_back,external intrinsic,left,left,True
FRCLTEXT000138_right,external intrinsic,left,left,True
FRCLTEXT000139_front,external intrinsic,right,right,True
FRCLTEXT000139_left,external intrinsic,right,right,True
FRCLTEXT000139_back,external intrinsic,right,right,True
FRCLTEXT000139_right,external intrinsic,right,right,True
FRCLTEXT000141_front,external relative,front,front,True
FRCLTEXT000141_left,external relative,left,right,False
FRCLTEXT000141_back,external relative,back,back,True
FRCLTEXT000141_right,external relative,right,left,False
FRCLTEXT000142_front,external relative,front,front,True
FRCLTEXT000142_left,external relative,left,right,False
FRCLTEXT000142_back,external relative,back,back,True
FRCLTEXT000142_right,external relative,right,left,False
FRCLTEXT000143_front,external relative,front,front,True
FRCLTEXT000143_left,external relative,left,right,False
FRCLTEXT000143_back,external relative,back,back,True
FRCLTEXT000143_right,external relative,right,left,False
FRCLTEXT000144_front,external intrinsic,front,front,True
FRCLTEXT000144_left,external intrinsic,front,left,False
FRCLTEXT000144_back,external intrinsic,front,front,True
FRCLTEXT000144_right,external intrinsic,front,right,False
FRCLTEXT000147_front,external relative,right,left,False
FRCLTEXT000147_left,external relative,front,front,True
FRCLTEXT000147_back,external relative,left,right,False
FRCLTEXT000147_right,external relative,back,left,False
FRCLTEXT000150_front,external intrinsic,front,front,True
FRCLTEXT000150_left,external intrinsic,front,front,True
FRCLTEXT000150_back,external intrinsic,front,front,True
FRCLTEXT000150_right,external intrinsic,front,right,False
FRCLTEXT000151_front,internal intrinsic,right,right,True
FRCLTEXT000151_left,internal intrinsic,right,right,True
FRCLTEXT000151_back,internal intrinsic,right,right,True
FRCLTEXT000151_right,internal intrinsic,right,right,True
FRCLTEXT000153_front,external intrinsic,right,right,True
FRCLTEXT000153_left,external intrinsic,right,right,True
FRCLTEXT000153_back,external intrinsic,right,right,True
FRCLTEXT000153_right,external intrinsic,right,right,True
FRCLTEXT000154_front,external relative,right,right,True
FRCLTEXT000154_left,external relative,front,front,True
FRCLTEXT000154_back,external relative,left,right,False
FRCLTEXT000154_right,external relative,back,front,False
FRCLTEXT000156_front,external intrinsic,front,front,True
FRCLTEXT000156_left,external intrinsic,front,front,True
FRCLTEXT000156_back,external intrinsic,front,front,True
FRCLTEXT000156_right,external intrinsic,front,front,True
FRCLTEXT000157_front,internal relative,right,left,False
FRCLTEXT000157_left,internal relative,front,front,True
FRCLTEXT000157_back,internal relative,left,right,False
FRCLTEXT000157_right,internal relative,back,right,False
FRCLTEXT000158_front,external relative,back,back,True
